AgeGroup,Metric,Layer,Beta_Age,p_Age,Beta_logVol,p_logVol,p_Age_FDR,p_logVol_FDR
>=50,MD,Outer5,0.9657948276952838,6.966348760651125e-07,-0.387550273087617,1.3416915777211447e-05,4.559791916062554e-06,7.43090719968634e-05
>=50,FA,Center,0.11312393498397882,0.7488954761446962,0.06567332613403805,0.7869950830546785,0.8696850690712601,0.798079520844181
>=50,FA,Inner2,0.235450234855595,0.33329684325500164,-0.03227182391600379,0.805230502253773,0.49994526488250246,0.805230502253773
>=50,FA,Inner1,0.07813086931700987,0.6640191285587285,0.05923188014891127,0.4747391647423208,0.838761004495236,0.5793427095160525
>=50,FA,Outer1,0.05578177739907242,0.7391313151854264,0.22598407552349623,0.003719756961161166,0.8696850690712601,0.009919351896429776
>=50,FA,Outer2,0.04113294864951539,0.804577259428553,0.1616109633756135,0.03571038950809389,0.8777206466493306,0.0612178105853038
>=50,FA,Outer3,-0.016216422719738794,0.9246685199818204,-0.02608005472913787,0.7412734929263418,0.9250910437890542,0.7735027752274871
>=50,FA,Outer4,-0.06045946257768916,0.7311333751837432,-0.19807276669583837,0.015183996735576192,0.8696850690712601,0.030888919393856355
>=50,FA,Outer5,-0.09534127462760375,0.5913013205302617,-0.28649722297780206,0.0005483233383403541,0.7740671832396154,0.0018799657314526425
>=50,g_ratio,Center,0.904311745734208,0.008573475267501483,-0.53255840073037,0.023747995264364448,0.021285869629658855,0.04621231510903352
>=50,g_ratio,Inner2,0.4622147173565354,0.0176971260353876,-0.6325739300284523,6.073870655192788e-09,0.04247310248493024,1.4577289572462693e-07
>=50,g_ratio,Inner1,0.3686962334141726,0.03353974659508214,-0.37232887724377534,4.839650508812688e-06,0.07546442983893481,3.1677712421319415e-05
>=50,g_ratio,Outer1,0.5825743264058404,0.0012119678117316474,-0.1558199546727706,0.058125084857642444,0.0036359034351949424,0.09511377522159672
>=50,g_ratio,Outer2,0.8249503216409744,3.2683827396327388e-06,-0.04621202256107718,0.5616203591621919,1.5432760769206533e-05,0.641851839042505
>=50,g_ratio,Outer3,0.8363015721342495,2.369977799496347e-06,0.05438637235506104,0.4941234102422718,1.2188457254552643e-05,0.5901592652680915
>=50,g_ratio,Outer4,0.8957846952035563,4.712173315811469e-07,0.09042781494180345,0.25587940752081734,3.3927647873842576e-06,0.33496940620907
>=50,g_ratio,Outer5,0.953201439735596,8.956865975537304e-08,0.07171851604731713,0.3666658382400573,9.335706708575263e-07,0.4631568483032303
